구이름,동이름,공영민영개수총합계,공영민영면적총합계,공영개수,공영면수,민영개수,민영면수,노상총개수,노상총면수,노상시영개수,노상시영면수,노상구영개수,노상구영면수,노외총합개수,노외총합면수,노외시영개수,노외시영면수,노외구영개수,노외국영면수,노외민영개수,노외민영면수,건축물총개수,건축물총면적,일반주택개수,일반주택면적,공동주택개수,공동주택면적,일반건축물개수,일반건축물면적
중랑구,망우3동,906,4324,45,543,861,3781,44,298,-,-,44,298,2,255,-,-,1,245,1,10,860,3771,476,1209,195,1471,189,1091
중랑구,신내1동,465,17192,21,455,444,16737,19,310,-,-,19,310,3,228,-,-,2,145,1,83,443,16654,59,203,155,12222,229,4229
중랑구,신내2동,39,6670,5,136,34,6534,4,50,-,-,4,50,1,86,1,86,-,-,-,-,34,6534,-,-,8,5120,26,1414
중랑구,면목본동,1286,8157,61,805,1225,7352,58,530,-,-,58,530,7,340,-,-,3,275,4,65,1221,7287,481,1384,391,3774,349,2129
중랑구,면목3.8동,894,7070,52,797,842,6273,46,413,-,-,46,413,9,556,-,-,6,384,3,172,839,6101,398,990,194,3118,247,1993
중랑구,망우본동,1105,14616,62,1140,1043,13476,56,640,-,-,56,640,13,662,-,-,6,500,7,162,1036,13314,348,804,292,6956,396,5554
성북구,소계,9503,155254,228,6447,9275,148807,127,4571,1,26,126,4545,149,4046,1,21,100,1855,48,2170,9227,146637,3123,8763,2942,94670,3162,43204
성북구,돈암1동,79,5809,2,17,77,5792,2,17,-,-,2,17,-,-,-,-,-,-,-,-,77,5792,20,97,30,5327,27,368
성북구,돈암2동,62,9912,-,-,62,9912,-,-,-,-,-,-,1,100,-,-,-,-,1,100,61,9812,11,58,34,9294,16,460
성북구,안암동,559,7994,10,359,549,7635,8,346,-,-,8,346,2,13,-,-,2,13,-,-,549,7635,177,526,97,1509,275,5600
성북구,보문동,396,3535,11,326,385,3209,8,300,-,-,8,300,3,26,-,-,3,26,-,-,385,3209,109,302,91,1549,185,1358
성북구,정릉1동,209,6064,7,182,202,5882,5,174,-,-,5,174,5,48,-,-,2,8,3,40,199,5842,49,179,71,5115,79,548
성북구,정릉2동,570,7628,9,248,561,7380,5,207,-,-,5,207,6,71,-,-,4,41,2,30,559,7350,102,780,337,5064,120,1506
성북구,정릉3동,605,4300,16,346,589,3954,7,185,-,-,7,185,11,183,-,-,9,161,2,22,587,3932,245,727,178,1772,164,1433
성북구,정릉4동,547,8622,8,228,539,8394,5,152,-,-,5,152,4,85,-,-,3,76,1,9,538,8385,142,387,271,6870,125,1128
성북구,길음1동,96,13513,3,20,93,13493,2,14,-,-,2,14,2,76,-,-,1,6,1,70,92,13423,19,45,25,12639,48,739
성북구,길음2동,148,12483,5,208,143,12275,3,49,-,-,3,49,6,1220,-,-,2,159,4,1061,139,11214,48,94,17,6768,74,4352
성북구,월곡1동,390,9587,17,422,373,9165,8,216,-,-,8,216,9,206,-,-,9,206,-,-,373,9165,121,233,82,4601,170,4331
성북구,월곡2동,608,8437,16,389,592,8048,11,246,-,-,11,246,9,258,-,-,5,143,4,115,588,7933,286,521,85,4183,217,3229
성북구,장위1동,753,4431,16,479,737,3952,3,274,-,-,3,274,15,244,-,-,13,205,2,39,735,3913,181,487,410,2745,144,681
성북구,장위2동,496,3079,13,250,483,2829,7,127,-,-,7,127,10,200,-,-,6,123,4,77,479,2752,147,321,164,1363,168,1068
성북구,장위3동,125,6574,6,274,119,6300,2,129,-,-,2,129,6,283,-,-,4,145,2,138,117,6162,33,74,38,2978,46,3110
성북구,성북동,1052,5775,24,577,1028,5198,16,442,1,26,15,416,10,153,-,-,8,135,2,18,1026,5180,475,1309,210,1867,341,2004
성북구,삼선동,647,8283,18,666,629,7617,9,459,-,-,9,459,18,448,-,-,9,207,9,241,620,7376,204,560,200,4493,216,2323
